Provincia;Población;Columna 1
Los datos de población podrían;;
estar desactualizados;;
Buenos Aires;7600759;
Catamarca;456168;
Córdoba;3308876;
Chaco;464242;
Chubut;601176;
Corrientes;993338;
Entre Ríos;1320461;
Formosa;604976;
Jujuy;765378;
La Pampa;358532;
La Rioja;393531;
Mendoza;2040175;
Misiones;1127152;
Neuquén;711338;
Río Negro;74761;
Santa Cruz;320975;
Santiago del Estero;1385305;
Santa Fe;3194537;
San Juan;730378;
Salta;1529553;
San Luis;504358;
Tierra del Fuego;173432;
Tucumán;1448188;
